season;strata;sex;age;КС;НП;ПО;count
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;1;1;1;15
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;0;0;0;0
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;0;0;1;103
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;0;1;0;59
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;0;1;1;9
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;1;0;0;176
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;1;0;1;22
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;1;1;0;31
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;1;1;1;12
2025/2026;Женщины, 18‒34;Женщины;18‒34;0;0;0;0
2025/2026;Женщины, 18‒34;Женщины;18‒34;0;0;1;9
2025/2026;Женщины, 18‒34;Женщины;18‒34;0;1;0;1
2025/2026;Женщины, 18‒34;Женщины;18‒34;0;1;1;1
2025/2026;Женщины, 18‒34;Женщины;18‒34;1;0;0;13
2025/2026;Женщины, 18‒34;Женщины;18‒34;1;0;1;0
2025/2026;Женщины, 18‒34;Женщины;18‒34;1;1;0;3
2025/2026;Женщины, 18‒34;Женщины;18‒34;1;1;1;1
2025/2026;Женщины, 35‒49;Женщины;35‒49;0;0;0;0
2025/2026;Женщины, 35‒49;Женщины;35‒49;0;0;1;14
2025/2026;Женщины, 35‒49;Женщины;35‒49;0;1;0;12
2025/2026;Женщины, 35‒49;Женщины;35‒49;0;1;1;2
2025/2026;Женщины, 35‒49;Женщины;35‒49;1;0;0;14
2025/2026;Женщины, 35‒49;Женщины;35‒49;1;0;1;1
2025/2026;Женщины, 35‒49;Женщины;35‒49;1;1;0;6
2025/2026;Женщины, 35‒49;Женщины;35‒49;1;1;1;4
2025/2026;Женщины, 50‒79;Женщины;50‒79;0;0;0;0
2025/2026;Женщины, 50‒79;Женщины;50‒79;0;0;1;13
2025/2026;Женщины, 50‒79;Женщины;50‒79;0;1;0;7
2025/2026;Женщины, 50‒79;Женщины;50‒79;0;1;1;0
2025/2026;Женщины, 50‒79;Женщины;50‒79;1;0;0;38
2025/2026;Женщины, 50‒79;Женщины;50‒79;1;0;1;3
2025/2026;Женщины, 50‒79;Женщины;50‒79;1;1;0;7
2025/2026;Женщины, 50‒79;Женщины;50‒79;1;1;1;1
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;0;0;0;0
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;0;0;1;45
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;0;1;0;20
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;0;1;1;5
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;1;0;0;44
