year_season;strata;sex;age;obs;unobs;est;ci_lower;ci_upper;method;degenerate_share;n_boot_used
2022/2023;Женщины, 18‒34;Женщины;18‒34;36;61;97;60;153;loglin_saturated;;
2022/2023;Женщины, 18‒34;Женщины;18‒34;36;87;123;66;324;zelterman;0.0;998.0
2022/2023;Женщины, 35‒49;Женщины;35‒49;76;92;168;126;274;chao;0.0;1000.0
2022/2023;Женщины, 35‒49;Женщины;35‒49;76;65;141;108;177;loglin_nonsaturated;;
2022/2023;Женщины, 35‒49;Женщины;35‒49;76;127;203;139;309;loglin_saturated;;
2022/2023;Женщины, 35‒49;Женщины;35‒49;76;91;167;122;279;zelterman;0.0;1000.0
2022/2023;Женщины, 50‒79;Женщины;50‒79;96;181;277;195;470;chao;0.0;1000.0
2022/2023;Женщины, 50‒79;Женщины;50‒79;96;102;198;158;244;loglin_nonsaturated;;
2022/2023;Женщины, 50‒79;Женщины;50‒79;96;200;296;196;439;loglin_saturated;;
2022/2023;Женщины, 50‒79;Женщины;50‒79;96;183;279;193;487;zelterman;0.0;1000.0
2022/2023;Мужчины;Мужчины;total;1267;1804;3071;2827;3439;chao;0.0;1000.0
2022/2023;Мужчины;Мужчины;total;1267;1177;2444;2220;2689;loglin_nonsaturated;;
2022/2023;Мужчины;Мужчины;total;1267;2300;3567;2617;5158;loglin_saturated;;
2022/2023;Мужчины;Мужчины;total;1267;1783;3050;2790;3437;zelterman;0.0;1000.0
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;278;394;672;555;841;chao;0.0;1000.0
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;278;243;521;449;597;loglin_nonsaturated;;
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;278;474;752;533;1094;loglin_saturated;;
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;278;395;673;547;856;zelterman;0.0;1000.0
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;557;683;1240;1097;1437;chao;0.0;1000.0
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;557;475;1032;922;1158;loglin_nonsaturated;;
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;557;928;1485;1097;2157;loglin_saturated;;
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;557;667;1224;1073;1428;zelterman;0.0;1000.0
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;432;727;1159;975;1418;chao;0.0;1000.0
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;432;459;891;778;1023;loglin_nonsaturated;;
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;432;898;1330;946;1961;loglin_saturated;;
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;432;722;1154;966;1419;zelterman;0.0;1000.0
2023/2024;total;total;total;1221;2003;3224;2967;3683;chao;0.0;1000.0
2023/2024;total;total;total;1221;1654;2875;2403;3594;loglin_nonsaturated;;
2023/2024;total;total;total;1221;3385;4606;3189;7077;loglin_saturated;;
2023/2024;total;total;total;1221;2007;3228;2950;3710;zelterman;0.0;1000.0
2023/2024;Женщины;Женщины;total;156;220;376;294;607;chao;0.0;1000.0
2023/2024;Женщины;Женщины;total;156;145;301;240;381;loglin_nonsaturated;;
2023/2024;Женщины;Женщины;total;156;297;453;304;697;loglin_saturated;;
2023/2024;Женщины;Женщины;total;156;224;380;289;623;zelterman;0.0;1000.0
2023/2024;Женщины, 18‒34;Женщины;18‒34;28;23;51;36;100;chao;0.0;1000.0
2023/2024;Женщины, 18‒34;Женщины;18‒34;28;32;60;42;84;loglin_nonsaturated;;
2023/2024;Женщины, 18‒34;Женщины;18‒34;28;66;94;57;152;loglin_saturated;;
2023/2024;Женщины, 18‒34;Женщины;18‒34;28;21;49;34;99;zelterman;0.0;1000.0
2023/2024;Женщины, 35‒49;Женщины;35‒49;68;75;143;108;236;chao;0.0;1000.0
2023/2024;Женщины, 35‒49;Женщины;35‒49;68;61;129;98;166;loglin_nonsaturated;;
2023/2024;Женщины, 35‒49;Женщины;35‒49;68;124;192;128;299;loglin_saturated;;
2023/2024;Женщины, 35‒49;Женщины;35‒49;68;74;142;104;244;zelterman;0.0;1000.0
2023/2024;Женщины, 50‒79;Женщины;50‒79;60;123;183;117;385;chao;0.0;1000.0
2023/2024;Женщины, 50‒79;Женщины;50‒79;60;52;112;86;147;loglin_nonsaturated;;
2023/2024;Женщины, 50‒79;Женщины;50‒79;60;107;167;111;256;loglin_saturated;;
2023/2024;Женщины, 50‒79;Женщины;50‒79;60;129;189;117;413;zelterman;0.0;1000.0
2023/2024;Мужчины;Мужчины;total;1065;1783;2848;2598;3235;chao;0.0;1000.0
2023/2024;Мужчины;Мужчины;total;1065;1509;2574;2153;3250;loglin_nonsaturated;;
2023/2024;Мужчины;Мужчины;total;1065;3088;4153;2857;6405;loglin_saturated;;
2023/2024;Мужчины;Мужчины;total;1065;1783;2848;2583;3260;zelterman;0.0;1000.0
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;203;381;584;454;805;chao;0.0;1000.0
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;203;333;536;418;706;loglin_nonsaturated;;
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;203;682;885;573;1440;loglin_saturated;;
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;203;386;589;450;825;zelterman;0.0;1000.0
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;470;716;1186;1013;1408;chao;0.0;1000.0
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;470;630;1100;900;1390;loglin_nonsaturated;;
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;470;1290;1760;1183;2737;loglin_saturated;;
